Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Revenue share (%),Revenue share Change (pp),Units,Units Change (%),Units Change,Unit share (%),Unit share Change (pp),Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,TPR units,TPR units Change (%),TPR units Change
LG,24602262.06,-0.026,-656867.23,0.366,0.5,28031,0.016,455,0.299,-0.1,877.67,-0.042,-38.3,122,2,17048,0.129,1949
SAMSUNG,13394141.9,-0.101,-1507478.33,0.199,-1.4,15722,0.091,1309,0.168,1.1,851.91,-0.176,-181.95,119,-17,8732,0.15,1140
PANASONIC,7514041.84,-0.074,-599319.65,0.112,-0.4,10291,-0.016,-172,0.11,-0.4,730.15,-0.058,-45.26,102,0,6411,-0.032,-210
SONY,4896299.06,-0.006,-29300.34,0.073,0.2,6059,-0.039,-245,0.065,-0.4,808.07,0.034,26.71,113,10,2592,0.085,202
HISENSE,4827340.17,-0.037,-183916.76,0.072,0,4179,0.004,15,0.045,-0.1,1155.11,-0.04,-48.36,161,3,2149,0.005,11
PHILIPS,4249267.89,0.017,69430.96,0.063,0.4,10214,-0.027,-287,0.109,-0.5,416.03,0.045,17.97,58,6,4540,0.078,330
WE. BY LOEWE.,1660352.46,-0.055,-95742.24,0.025,0,1050,-0.016,-17,0.011,0,1581.74,-0.04,-65.05,221,4,255,-0.139,-41
METZ,839710.86,0.095,72648.27,0.013,0.2,3027,0.081,226,0.032,0.2,277.39,0.013,3.54,39,3,429,1.944,283
TELEFUNKEN,771494.49,0.324,188812.92,0.011,0.3,2344,0.301,543,0.025,0.5,329.18,0.017,5.6,46,3,996,0.77,433
TOSHIBA,657401.06,-0.018,-12103.78,0.01,0,1944,0.065,119,0.021,0.1,338.09,-0.078,-28.6,47,-1,1078,0.33,268
GRUNDIG,647995.16,0.382,179195.9,0.01,0.3,276,0.243,54,0.003,0.1,2351.1,0.112,236.72,328,50,88,-0.07,-7
LOEWE,498048.13,0.088,40197.66,0.007,0.1,1217,0.025,30,0.013,0,409.14,0.061,23.68,57,6,476,0.134,56
METZ BLUE,247684.09,-0.389,-158010.63,0.004,-0.2,505,0.225,93,0.005,0.1,490.87,-0.502,-494.31,68,-61,286,0.842,131
TCL,210241.52,0.041,8377.32,0.003,0,195,0.025,5,0.002,0,1080.68,0.016,16.8,151,11,75,0.314,18
ANTTEQ,172122.94,0.068,10999.36,0.003,0,205,0.131,24,0.002,0,839.45,-0.056,-49.9,117,0,32,-0.264,-12
TECHNISAT,148152.87,0.24,28665.28,0.002,0,461,0.091,39,0.005,0,321.41,0.136,38.59,45,8,8,-0.565,-11
SHARP,142352.4,-0.141,-23309.05,0.002,0,952,-0.157,-177,0.01,-0.2,149.47,0.019,2.78,21,2,142,-0.379,-87
DYON,137908.04,-0.336,-69815.3,0.002,-0.1,547,-0.293,-226,0.006,-0.3,252.12,-0.062,-16.53,35,0,17,2.169,12
JVC,58377.73,0.248,11590.83,0.001,0,318,0.333,80,0.003,0.1,183.33,-0.064,-12.62,26,0,121,0.942,59
STRONG,47733.57,-0.037,-1834.44,0.001,0,218,-0.156,-40,0.002,0,219.38,0.141,27.04,31,5,113,-0.126,-16
CHIQ,43897.03,-0.16,-8353.56,0.001,0,144,-0.146,-25,0.002,0,304.21,-0.017,-5.24,42,2,56,-0.07,-4
XIAOMI,41566.92,-0.188,-9628.93,0.001,0,111,-0.26,-39,0.001,0,375.18,0.098,33.34,52,7,49,-0.471,-43
NOKIA,23946.75,-0.074,-1922.82,0,0,239,-0.054,-14,0.003,0,100.2,-0.022,-2.22,14,1,0,,
BLAUPUNKT,14630.53,0.167,2097.25,0,0,69,0.169,10,0.001,0,212.04,-0.002,-0.39,30,2,,,
CELLO,13043.66,1.286,7337.91,0,0,44,1.254,24,0,0,299.59,0.012,3.51,42,3,7,1.213,4
REFLEXION,11186.67,-0.856,-66412.87,0,-0.1,16,-0.804,-65,0,-0.1,704.87,-0.264,-252.89,98,-28,,,
NORDMENDE,11123.54,0.256,2266.94,0,0,52,0.268,11,0.001,0,213.91,-0.01,-2.1,30,1,0,,
TECHWOOD,10888.53,11.415,10011.49,0,0,19,7.043,16,0,0,589.98,0.548,208.97,82,32,,,
HITACHI,9357.3,-0.403,-6321.9,0,0,2,-0.091,0,0,0,4678.65,-0.344,-2448.26,652,-284,0,,
BANG & OLUFSEN,6276.76,2.755,4605.07,0,0,27,2.011,18,0,0,236.86,0.24,45.81,33,8,18,1.222,10
LENCO,6021.27,-0.172,-1251.03,0,0,17,-0.226,-5,0,0,352.31,0.072,23.71,49,6,0,,
COOCAA,3518.3,1.576,2152.4,0,0,8,0.6,3,0,0,439.79,0.61,166.61,61,25,,,
CECOTEC,2312.1,-0.761,-7380.46,0,0,9,-0.771,-30,0,0,256.9,0.042,10.35,36,3,,,
JAY-TECH,1998,,,0,,2,,,0,,999,,,139,,0,,
JTC,1739.5,-0.064,-118.45,0,0,15,-0.126,-2,0,0,113.45,0.071,7.55,16,2,,,
DENVER,1144,-0.168,-231.46,0,0,7,0.2,1,0,0,160,-0.302,-69.24,22,-8,,,
MI,815.55,-0.208,-214.63,0,0,4,-0.264,-1,0,0,207.99,0.079,15.15,29,4,,,
OPTICUM,798,0.028,21.98,0,0,2,0,0,0,0,399,0.028,10.99,56,5,0,,
SELFSAT,792.95,,,0,,3,,,0,,279,,,39,,0,,
EKO,574.12,-0.263,-204.41,0,0,3,0,0,0,0,220.5,-0.263,-78.5,31,-9,0,,
ECG,516.27,-0.328,-252.22,0,0,2,-0.333,-1,0,0,258.14,0.008,1.97,36,2,0,,
KIVI,474.52,,,0,,1,,,0,,474.52,,,66,,0,,
SENCOR,286.25,,,0,,1,,,0,,229,,,32,,0,,
ANKARO,179.9,,,0,,1,,,0,,179.9,,,25,,0,,
ANTTEQ,163.88,-0.729,-441.77,0,0,1,-0.565,-1,0,0,163.88,-0.391,-105.3,23,-13,,,
KRUGER & MATZ,160.46,,,0,,1,,,0,,149,,,21,,0,,
Tradebrands & Exclusives,1240094.75,0.004,4964.38,0.018,0.1,5118,0.006,33,0.055,-0.1,242.29,-0.002,-0.59,,,,,
