Model code,Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Units,Units Change (%),Units Change,Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,Act. Num. Dist.,Act. Num. Dist. Change (pp),TPR units,TPR units Change (%),TPR units Change
GQ65S90C,LG,2241621.98,0.213,393899.88,1405,0.224,257,1595.46,-0.009,-14.05,222,11,0.054,0.5,1404,0.237,269
GU65CU7179,LG,1342184.18,0.432,404841.93,2022,0.467,644,663.9,-0.024,-16.45,93,3,0.284,22.6,1967,0.759,848
GU55CU7179,LG,1236634.61,-0.018,-22165.01,2504,-0.043,-111,493.9,0.026,12.52,69,6,0.064,0.3,768,-0.317,-357
GQ55S90C,LG,1019190.59,0.23,190611.66,771,0.239,149,1322.77,-0.007,-9.36,184,9,0.042,0.6,720,0.24,139
55PUS8108,PANASONIC,893901.74,0.04,34334.49,1787,0.044,75,500.31,-0.003,-1.72,70,4,0.063,-0.1,1766,0.072,118
GQ77S90C,LG,873593.72,0.285,193995.31,350,0.311,83,2495.98,-0.019,-49.33,348,14,0.029,0.7,344,0.432,104
55OLED708,PANASONIC,873353.47,0.157,118758.33,875,0.168,126,998.04,-0.009,-9.5,139,7,0.055,0.7,875,0.175,130
55NANO756QC,SAMSUNG,867969.13,0.39,243732.62,1823,0.393,514,476.12,-0.002,-0.76,66,4,0.062,0.8,1641,0.393,463
GQ65QN85C,LG,820958.23,0.27,174686.21,610,0.3,141,1345.83,-0.023,-31.26,188,7,0.048,1,607,0.866,282
OLED65G39LA,SAMSUNG,798437.63,-0.401,-533593.94,352,-0.37,-207,2267.58,-0.049,-115.65,316,3,0.036,-1.6,244,-0.161,-47
GQ65S95C,LG,793489.71,-0.24,-250871.15,367,-0.243,-117,2163.37,0.003,6.62,302,18,0.046,-0.2,194,-0.064,-13
GQ55QN85C,LG,747538.74,0.313,178044.17,743,0.328,184,1006.59,-0.012,-12.13,140,7,0.055,0.2,638,0.358,168
OLED65B39LA,SAMSUNG,707779.52,3.709,557490.71,405,3.602,317,1747.6,0.023,39.78,244,19,0.027,1.8,122,1.761,78
